MetricId	CatalogType	LongDescription
MonAgentNumberOfInboundCallsOnly	A	The description promises external calls only, but the stored filter also admits intercom calls, making this row an exact duplicate of MonAgentNumberOfInboundCallsWithIntercom. Recommended fix: remove CallType=="Intercom" from the filter so the metric matches its name.
QueueAvgTalkingDurationCallsAndCallbacks	Q	Average talk-phase duration of incoming combined voice load: external incoming calls and callbacks that have been completed today (currently active ones are excluded until they finish). Talk time is the agent-customer conversation phase, one of the components of Average Handling Time (AHT) together with hold and wrap-up.
QueueAvgTalkingDurationChats	Q	Average talk-phase duration of incoming incoming chat interactions that have been completed today (currently active ones are excluded until they finish). Talk time is the agent-customer conversation phase, one of the components of Average Handling Time (AHT) together with hold and wrap-up.
QueueAvgTalkingDurationInteractions	Q	Average talk-phase duration of incoming non-voice digital interactions (chat and e-mail) that have been completed today (currently active ones are excluded until they finish). Talk time is the agent-customer conversation phase, one of the components of Average Handling Time (AHT) together with hold and wrap-up.
MonSumAgentsAverageCallDuration	AG	Average conversation time of incoming external calls and callbacks finished today by agents of the Business Unit, computed over the agent-group interaction set.
MonSumAgentsAverageChatDuration	AG	Average chat-handling time of incoming chats finished today by agents of the Business Unit (agent-group interaction set).
MonSumAgentsLongestCurrentCall	AG	Real-time maximum talk duration among interactions currently in progress within the Business Unit. Flags conversations running unusually long.
MonAgentTalkDuration	A	Sum of all time today in statuses of the ONPHONE group — total customer-facing talk time.
AgentMessagesAvgResponseTime	A	Agent-level average time between a customer message and the agent’s reply (all replies).
AgentMessagesAvgFirstResponseTime	A	Agent-level FRT: average time from conversation arrival to the agent’s first reply.
MonAgentCurrentLoginDuration	A	Duration of the agent’s current login session, ticking in real time.
MonAgentAvailableDuration	A	Cumulative time today in statuses of the AVAILABLE group — idle-ready time waiting for interactions.
MonAgentDurationOfCurrentCall	A	Real-time duration of the agent’s current "Incoming Ext Call" status; zero/empty when not on an incoming external call.
MonAgentAverageAgentDialerDuration	A	Average time per stay in the "Campaign Call" status today.
MonAgentDurationOfCalls	A	Cumulative time today in the "Incoming Ext Call" status — incoming-talk subset of total talk time.
MonAgentAverageCallDuration	A	Average time per stay in ONPHONE-group statuses today — a practical per-interaction handling-time proxy at agent level.
MonAgentStateDuration	A	Real-time duration of the agent’s current status, whatever it is. Universal wallboard timer column.
MonAgentTelStateDuration	A	Real-time duration of the current state (e.g. talking, hold) of the agent’s longest active interaction.
MonAgentBreakDuration	A	Cumulative time today in break-type statuses (lunch, short break, etc.).
MonAgentWrapUpDuration	A	Cumulative time today in the specific "Wrap Up" status (one state of the PAPERWORK group).
MonAgentUnavailableStateDuration	A	Cumulative time today in the specific "Unavailable" status.
MonAgentAverageInboundCallDuration	A	Average talk time of the agent’s completed incoming external calls and callbacks (interaction-based, excludes in-progress).
MonAgentPaperworkDuration	A	Cumulative time today in after-call-work / back-office statuses (PAPERWORK group).
MonAgentMaxCallDuration	A	Maximum talk duration among the agent’s incoming external calls/callbacks today.
MonAgentLoginTime	A	Sum of all the agent’s login sessions today. Denominator for all "percent of login time" metrics.
MonAgentStateDescDuration	A	Real-time duration of the agent’s stay in the current status group: switching between states inside one group (e.g. Lunch to Coffee Break) does not reset this timer.
MonAgentHeldDuration	A	Cumulative time today in the "Hold" status. Hold time is an AHT component and a customer-experience irritant.
MonAgentStation	A	Static attribute: the station the agent is logged into.
MonAgentTelState	A	Real-time attribute: current state (e.g. talking, hold) of the longest active interaction.
RemotePhoneNumber	A	Real-time attribute: remote-party number of the longest active interaction. PII — apply masking policies where required.
MonAgentUserId	A	Static attribute: the agent’s user ID on the CC platform.
AgentLoginName	A	Static attribute used as the row label in Agent Grid widgets.
MonActiveCampaign	A	Real-time attribute: which queue the longest active interaction came from.
MonInteractionType	A	Real-time attribute: interaction type of the longest active interaction.
MonAgentExtension	A	Static attribute: the agent’s extension number.
MonAgentStateDesc	A	Real-time text attribute: the status group (AVAILABLE / ONPHONE / BREAK / PAPERWORK / TRAINING) of the agent’s current state.
MonAgentFirstLoginTimeStamp	A	Static-per-day attribute: when the agent first logged in today.
MonAgentCurrentLoginTimeStamp	A	Attribute: start time of the current login session.
MonAgentAvailableDurationPct	A	Cumulative AVAILABLE-group time divided by total login time — the idle-ready share.
MonAgentBreakDurationPct	A	Cumulative BREAK-group time divided by total login time — per-agent break shrinkage.
MonAgentPaperworkDurationPct	A	Cumulative PAPERWORK-group time divided by total login time — ACW share.
MonAgentTrainingDurationPct	A	Cumulative TRAINING-group time divided by total login time.
QueueNumAbandonedCalls	Q	Counts incoming external incoming voice calls that left the queue without being answered (caller hung up / closed the chat). Interactions that converted to a callback request are excluded, so requesting a callback is not treated as abandonment.
QueueNumOutboundCalls	Q	Counts outgoing external voice calls placed today within the Business Unit scope (any outcome).
QueueNumTransferredCalls	Q	Counts incoming external calls flagged as transferred (IsTransferred). High values may indicate routing/skill mismatch or first-contact-resolution problems.
MonAgentAverageMakeCallDuration	A	Average time per stay in the "Out Ext Call" status today.
MonAgentState	A	Real-time text attribute: the title of the agent’s current Agent State (e.g. Available, Lunch, Wrap Up).
MonAgentActiveInteractionId	A	Real-time attribute: the interaction ID of the agent’s longest currently-active interaction.
QueueNumAnsweredCallbacks60sec	Q	Counts incoming callback interactions (customer-requested return calls handled by the queue) answered by an agent where the time in queue was less than 60 seconds. This is the numerator for Service Level calculations with a 60-second target.
MonAgentTodayLogin	A	Technical attribute marking agents who connected during the current day. NOTE: its Description in the DB ("Change -ID of a representative...") lacks the standard "Agent -" prefix and needs normalisation.
QueueNumIncomingCompletedCalls	Q	Counts incoming external incoming voice calls whose queue phase has completed: each was either answered by an agent or abandoned. Interactions still waiting in queue and callback requests are excluded. Because the value only changes when an interaction leaves the queue, it is the standard denominator for 'percent answered' and 'percent abandoned' metrics.
QueueNumIncomingCompletedCallbacks	Q	Counts incoming callback interactions (customer-requested return calls handled by the queue) whose queue phase has completed: each was either answered by an agent or abandoned. Interactions still waiting in queue and callback requests are excluded. Because the value only changes when an interaction leaves the queue, it is the standard denominator for 'percent answered' and 'percent abandoned' metrics.
QueueNumIncomingCompletedCallsAndCallbacks	Q	Counts incoming combined voice load: external incoming calls and callbacks whose queue phase has completed: each was either answered by an agent or abandoned. Interactions still waiting in queue and callback requests are excluded. Because the value only changes when an interaction leaves the queue, it is the standard denominator for 'percent answered' and 'percent abandoned' metrics.
QueueNumIncomingCompletedChats	Q	Counts incoming incoming chat interactions whose queue phase has completed: each was either answered by an agent or abandoned. Interactions still waiting in queue and callback requests are excluded. Because the value only changes when an interaction leaves the queue, it is the standard denominator for 'percent answered' and 'percent abandoned' metrics.
QueueNumIncomingCompletedInteractions	Q	Counts incoming non-voice digital interactions (chat and e-mail) whose queue phase has completed: each was either answered by an agent or abandoned. Interactions still waiting in queue and callback requests are excluded. Because the value only changes when an interaction leaves the queue, it is the standard denominator for 'percent answered' and 'percent abandoned' metrics.
